id,title,frequency,units,popularity
ACTLISCOU49035,"Housing Inventory: Active Listing Count in Salt Lake County, UT",Monthly,Level,31
TRANSIT,Public Transit Ridership,Monthly,Thousands of Unlinked Trips,31
CEU3100000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Durable Goods",Monthly,Dollars per Hour,31
PCU5413354133,Producer Price Index by Industry: Engineering Services,Monthly,Index Dec 2003=100,31
PCU236221236221,Producer Price Index by Industry: New Warehouse Building Construction,Monthly,Index Dec 2004=100,31
ENRGY0EZ19M086NEST,Harmonized Index of Consumer Prices: Energy for Euro area (19 countries),Monthly,Index 2015=100,31
PCU3272133272130,Producer Price Index by Industry: Glass Container Manufacturing: Glass Containers (Including Value of Packaging),Monthly,Index Dec 2003=100,31
AUST448URN,"Unemployment Rate in Austin-Round Rock, TX (MSA)",Monthly,Percent,31
JTU5100JOL,Job Openings: Information,Monthly,Level in Thousands,31
UNDCONTNSA,New Privately-Owned Housing Units Under Construction: Total Units,Monthly,Thousands of Units,31
IRLTLT01GRM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Greece,Monthly,Percent,31
EXTHUS,Thai Baht to U.S. Dollar Spot Exchange Rate,Monthly,Thai Baht to One U.S. Dollar,31
WPU091501235,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Sanitary Tissue Paper Products, Made from Purchased Sanitary Paper Stock or Wadding",Monthly,Index Dec 2007=100,31
PPIFID,Producer Price Index by Commodity: Final Demand,Monthly,Index Nov 2009=100,31
WPU091411,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Paperboard, Excluding Corrugated Paperboard in Sheets and Rolls",Monthly,Index Dec 1982=100,31
ACTLISCOUNJ,Housing Inventory: Active Listing Count in New Jersey,Monthly,Level,31
TB6MS,"6-Month Treasury Bill Secondary Market Rate, Discount Basis",Monthly,Percent,31
IRSTCB01CNM156N,Interest Rates: Immediate Rates (< 24 Hours): Central Bank Rates: Total for China,Monthly,Percent,31
PCU3253132531,Producer Price Index by Industry: Fertilizer Manufacturing,Monthly,Index Dec 2003=100,31
MEDLISPRIFL,Housing Inventory: Median Listing Price in Florida,Monthly,U.S. Dollars,31
HQMCB3YR,3-Year High Quality Market (HQM) Corporate Bond Spot Rate,Monthly,Percent,30
IMPJP,U.S. Imports of Goods by Customs Basis from Japan,Monthly,Millions of Dollars,30
SFXRCNSA,"Condo Price Index for San Francisco, California",Monthly,Index Jan 2000=100,30
DALL148URN,"Unemployment Rate in Dallas-Fort Worth-Arlington, TX (MSA)",Monthly,Percent,30
TTLCON,Total Construction Spending: Total Construction in the United States,Monthly,Millions of Dollars,30
PCU3255203255204,"Producer Price Index by Industry: Adhesive Manufacturing: Synthetic Resin and Rubber Adhesives, Including All Types of Bonding and Laminating Adhesives",Monthly,Index Dec 1983=100,30
PCU3312223312225A,Producer Price Index by Industry: Steel Wire Drawing: Carbon Steel Wire,Monthly,Index Jun 1982=100,30
HQMCB50YR,50-Year High Quality Market (HQM) Corporate Bond Spot Rate,Monthly,Percent,30
PCU32543254,Producer Price Index by Industry: Pharmaceutical and Medicine Manufacturing,Monthly,Index Dec 1984=100,30
ACTLISCOU12011,"Housing Inventory: Active Listing Count in Broward County, FL",Monthly,Level,30
WPU101508,"Producer Price Index by Commodity: Metals and Metal Products: High Alloy Steel Castings, Excluding Investment",Monthly,Index 1982=100,30
WPU01610102,Producer Price Index by Commodity: Farm Products: Raw Milk,Monthly,Index 1982=100,30
RIELPCFANNM,"Average Finance Rate of New Car Loans at Finance Companies, Amount of Finance Weighted",Monthly,Percent,30
ACTLISCOU34940,"Housing Inventory: Active Listing Count in Naples-Immokalee-Marco Island, FL (CBSA)",Monthly,Level,30
TREASURY,Treasury Deposits with Federal Reserve Banks,Monthly,Billions of Dollars,30
RBRUBIS,Real Broad Effective Exchange Rate for Russia,Monthly,Index 2020=100,30
INTGSTMXM193N,"Interest Rates, Government Securities, Treasury Bills for Mexico",Monthly,Percent per Annum,30
WPU071201,Producer Price Index by Commodity: Rubber and Plastic Products: Tires,Monthly,Index 1982=100,30
WPU0614,Producer Price Index by Commodity: Chemicals and Allied Products: Basic Organic Chemicals,Monthly,Index 1982=100,30
PCU326199326199A,Producer Price Index by Industry: All Other Plastics Product Manufacturing: All Other Reinforced and Fiberglass Plastics Products,Monthly,Index Jun 1993=100,30
PCU721110721110,"Producer Price Index by Industry: Hotels and Motels, Except Casino Hotels",Monthly,Index Dec 2003=100,30
SEAT653URN,"Unemployment Rate in Seattle-Tacoma-Bellevue, WA (MSA)",Monthly,Percent,30
PCU327211327211,Producer Price Index by Industry: Flat Glass Manufacturing,Monthly,Index Dec 1980=100,30
EMVMACROBUS,Equity Market Volatility Tracker: Macroeconomic News and Outlook: Business Investment And Sentiment,Monthly,Index,30
CGBD2024,"Unemployment Rate - College Graduates - Bachelor's Degree, 20 to 24 years",Monthly,Percent,30
FRACPALTT01CTGYM,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for France",Monthly,"Contribution to growth rate, over 1 year",30
IR3TIB01ZAM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for South Africa,Monthly,Percent,30
PCU212325212325,"Producer Price Index by Industry: Clay, Ceramic, and Refractory Minerals Mining",Monthly,Index Jun 1984=100,30
RBBRBIS,Real Broad Effective Exchange Rate for Brazil,Monthly,Index 2020=100,30
LQASRTZAM163N,Liquid Assets to Total Assets (Liquid Asset Ratio) for South Africa,Monthly,Ratio,30
PCU3359133591,Producer Price Index by Industry: Storage Battery Manufacturing,Monthly,Index Dec 2003=100,30
CUURA422SEHA,"Consumer Price Index for All Urban Consumers: Rent of Primary Residence in San Francisco-Oakland-Hayward, CA (CBSA)",Monthly,Index 1982-1984=100,30
PCU23822X23822X,"Producer Price Index by Industry: Plumbing, Heating and Air-Conditioning Contractors, Nonresidential Building Work",Monthly,Index Dec 2007=100,30
TRESEGUSM052N,Total Reserves excluding Gold for United States,Monthly,Dollars,29
PCU5182105182105,"Producer Price Index by Industry: Data Processing, Hosting and Related Services: Hosting, Active Server Pages (ASP), and Other Information Technology (IT) Infrastructure Provisioning Services",Monthly,Index Dec 2006=100,29
WPU011306,Producer Price Index by Commodity: Farm Products: Potatoes,Monthly,Index Dec 2011=100,29
WPU01130216,Producer Price Index by Commodity: Farm Products: Dry Onions,Monthly,Index 1982=100,29
PGNUTSUSDM,Global price of Groundnuts,Monthly,U.S. Dollars per Metric Ton,29
WPU0912,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Recyclable Paper",Monthly,Index 1982=100,29
APU0000701322,Average Price: Spaghetti and Macaroni (Cost per Pound/453.6 Grams) in U.S. City Average,Monthly,U.S. Dollars,29
PCU33593359,Producer Price Index by Industry: Other Electrical Equipment and Component Manufacturing,Monthly,Index Dec 2003=100,29
IRLTLT01SEM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Sweden,Monthly,Percent,29
TWEXAFEGSMTH,Nominal Advanced Foreign Economies U.S. Dollar Index,Monthly,Index Jan 2006=100,29
PCU3339233392,Producer Price Index by Industry: Material Handling Equipment Manufacturing,Monthly,Index Dec 2003=100,29
WPU072A0101,Producer Price Index by Commodity: Rubber and Plastic Products: Plastics Packaging Products,Monthly,Index Dec 2006=100,29
LNU00000060,Population Level - 25-54 Yrs.,Monthly,Thousands of Persons,29
EXKOUS,South Korean Won to U.S. Dollar Spot Exchange Rate,Monthly,South Korean Won to One U.S. Dollar,29
WPU0121,Producer Price Index by Commodity: Farm Products: Wheat,Monthly,Index 1982=100,29
WPU10250162,"Producer Price Index by Commodity: Metals and Metal Products: Extruded Aluminum Shapes, Including Rod, Bar, and Wire",Monthly,Index Dec 2004=100,29
CCUSSP02IDM650N,"Currency Conversions: US Dollar Exchange Rate: Spot, End of Period: National Currency: USD for Indonesia",Monthly,Rupiah,29
PCU325110325110P,Producer Price Index by Industry: Petrochemical Manufacturing: Primary Products,Monthly,Index Dec 2003=100,29
FRBATLWGTUMHWG83O,Unweighted Median Hourly Wage Growth (1983): Overall,Monthly,Percent Change from Year Ago,29
OECDCPALTT01GYM,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for OECD",Monthly,Growth rate same period previous year,29
APU0000706212,"Average Price: Chicken Legs, Bone-In (Cost per Pound/453.6 Grams) in U.S. City Average",Monthly,U.S. Dollars,29
INTDSRBRM193N,"Interest Rates, Discount Rate for Brazil",Monthly,Percent per Annum,29
LNU01300001,Labor Force Participation Rate - Men,Monthly,Percent,29
APU0000712412,Average Price: Broccoli (Cost per Pound/453.6 Grams) in U.S. City Average,Monthly,U.S. Dollars,29
PCU332332,Producer Price Index by Industry: Fabricated Metal Product Manufacturing,Monthly,Index Dec 1984=100,29
NHSUSSPT,"New Houses Sold by Sales Price in the United States, Total",Monthly,Thousands of Units,29
CUURA422SA0,"Consumer Price Index for All Urban Consumers: All Items in San Francisco-Oakland-Hayward, CA (CBSA)",Monthly,Index 1982-1984=100,29
MEDLISPRIPERSQUFEEOH,Housing Inventory: Median Listing Price per Square Feet in Ohio,Monthly,U.S. Dollars,29
PCU336611336611A,"Producer Price Index by Industry: Ship Building and Repairing: Ship Repair, Nonmilitary",Monthly,Index Dec 1985=100,29
MEDLISPRIPERSQUFEE19740,"Housing Inventory: Median Listing Price per Square Feet in Denver-Aurora-Lakewood, CO (CBSA)",Monthly,U.S. Dollars,29
STLPPMDEF,Deflation Probability,Monthly,Probability,29
TERMAFCNCNSA,New Car Average Finance Rate at Auto Finance Companies (DISCONTINUED),Monthly,Percent,29
LTDACBM027NBOG,"Large Time Deposits, All Commercial Banks",Monthly,Billions of U.S. Dollars,29
MEDDAYONMARCA,Housing Inventory: Median Days on Market in California,Monthly,Level,29
APUS23A74714,"Average Price: Gasoline, Unleaded Regular (Cost per Gallon/3.785 Liters) in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",Monthly,U.S. Dollars,29
CPHPLA01EZM661N,"Consumer Price Index: Harmonised Prices: All Items Less Food, Energy, Tobacco, Alcohol: Total for the Euro Area (19 Countries)",Monthly,Index 2015=100,29
LNU05000000,Not in Labor Force,Monthly,Thousands of Persons,29
EUEPUINDXM,Economic Policy Uncertainty Index for Europe,Monthly,Index,29
EXGEUS,Germany / U.S. Foreign Exchange Rate (DISCONTINUED),Monthly,German Deutsche Marks to One U.S. Dollar,29
PCU327410327410P,Producer Price Index by Industry: Lime Manufacturing: Primary Products,Monthly,Index Dec 1985=100,29
ACTLISCOUMM42660,"Housing Inventory: Active Listing Count Month-Over-Month in Seattle-Tacoma-Bellevue, WA (CBSA)",Monthly,Percent,29
SNBMONTBASE,Swiss Monetary Base Aggregate,Monthly,CHF Millions,29
PCU33613361,Producer Price Index by Industry: Motor Vehicle Manufacturing,Monthly,Index Dec 2003=100,29
WPU0662,Producer Price Index by Commodity: Chemicals and Allied Products: Thermoplastic Resins and Plastics Materials,Monthly,Index 1982=100,28
PCU32513251,Producer Price Index by Industry: Basic Chemical Manufacturing,Monthly,Index Dec 1984=100,28
WPU101705,Producer Price Index by Commodity: Metals and Metal Products: Steel Wire,Monthly,Index Jun 1982=100,28
HOUS448URN,"Unemployment Rate in Houston-The Woodlands-Sugar Land, TX (MSA)",Monthly,Percent,28
CHIC917URN,"Unemployment Rate in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",Monthly,Percent,28
WPU01830111,Producer Price Index by Commodity: Farm Products: Peanuts,Monthly,Index 1982=100,28
INTDSRGBM193N,"Interest Rates, Discount Rate for United Kingdom",Monthly,Percent per Annum,28
PCU325520325520P,Producer Price Index by Industry: Adhesive Manufacturing: Primary Products,Monthly,Index Dec 1983=100,28
WPU102,Producer Price Index by Commodity: Metals and Metal Products: Nonferrous Metals,Monthly,Index 1982=100,28
APU0000FJ4101,Average Price: Yogurt (Cost per 8 Ounces/226.8 Grams) in U.S. City Average,Monthly,U.S. Dollars,28
MEDDAYONMAR41620,"Housing Inventory: Median Days on Market in Salt Lake City, UT (CBSA)",Monthly,Level,28
APUS48A72610,"Average Price: Electricity per Kilowatt-Hour in Phoenix-Mesa-Scottsdale, AZ (CBSA)",Monthly,U.S. Dollars,28
WPU1141,"Producer Price Index by Commodity: Machinery and Equipment: Pumps, Compressors, and Equipment",Monthly,Index 1982=100,28
APU0000711412,Average Price: Lemons (Cost per Pound/453.6 Grams) in U.S. City Average,Monthly,U.S. Dollars,28
RTWEXEMEGS,Real Emerging Market Economies Dollar Index,Monthly,Index Jan 2006=100,28
IRLTLT01ZAM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for South Africa,Monthly,Percent,28
APUS12A72610,"Average Price: Electricity per Kilowatt-Hour in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",Monthly,U.S. Dollars,28
ACTLISCOU33100,"Housing Inventory: Active Listing Count in Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",Monthly,Level,28
WPU08510505,"Producer Price Index by Commodity: Lumber and Wood Products: Wood Chips, Excluding Field Chips",Monthly,Index Dec 2011=100,28
WPU03,Producer Price Index by Commodity: Textile Products and Apparel,Monthly,Index 1982=100,28
CPF3M,90-Day AA Financial Commercial Paper Interest Rate,Monthly,Percent,28
ACTLISCOU38900,"Housing Inventory: Active Listing Count in Portland-Vancouver-Hillsboro, OR-WA (CBSA)",Monthly,Level,28
PCU23821X23821X,"Producer Price Index by Industry: Electrical Contractors, Nonresidential Building Work",Monthly,Index Dec 2007=100,28
FRVGBSV,Book Value of Federal Reserve Bank Held Gold Bullion: NY Vault,Monthly,U.S. Dollars,28
SPTNSAWE,Average Sales Price of New Manufactured Homes: Total Homes in West Census Region,Monthly,U.S. Dollars,28
PCU333111333111C,"Producer Price Index by Industry: Farm Machinery and Equipment Manufacturing: Parts for Farm Machinery, for Sale Separately",Monthly,Index Dec 1982=100,28
ITACPALTT01CTGYM,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for Italy",Monthly,"Contribution to growth rate, over 1 year",28
MRTSSM45112USN,"Retail Sales: Hobby, Toy, and Game Stores",Monthly,Millions of Dollars,28
PCU212391212391,"Producer Price Index by Industry: Potash, Soda, and Borate Mineral Mining",Monthly,Index Dec 1984=100,28
JTUJOL,Job Openings: Total Nonfarm,Monthly,Level in Thousands,28
WPU0613,Producer Price Index by Commodity: Chemicals and Allied Products: Basic Inorganic Chemicals,Monthly,Index 1982=100,28
CUUR0000SEHB,Consumer Price Index for All Urban Consumers: Lodging Away from Home in U.S. City Average,Monthly,Index Dec 1997=100,28
CCUSMA02EZM618N,Currency Conversions: US Dollar Exchange Rate: Average of Daily Rates: National Currency: USD for Euro Area (19 Countries),Monthly,Euro,28
WPU02930102,"Producer Price Index by Commodity: Processed Foods and Feeds: Chicken and Turkey Feed, Supplements, Concentrates, and Premixes",Monthly,Index Dec 1986=100,28
WPU06130271,Producer Price Index by Commodity: Chemicals and Allied Products: Rock Salt,Monthly,Index Dec 1984=100,28
PCU325311325311A,"Producer Price Index by Industry: Nitrogenous Fertilizer Manufacturing: Synthetic Ammonia, Nitric Acid, Ammonium Compounds, and Urea",Monthly,Index Dec 2014=100,28
NEWLISCOUCO,Housing Inventory: New Listing Count in Colorado,Monthly,Level,27
ADPMNUSNERNSA,Total Nonfarm Private Payroll Employment,Monthly,Persons,27
LNU02073413,Employment Level - Native Born,Monthly,Thousands of Persons,27
MSACSRNSA,Monthly Supply of New Houses in the United States,Monthly,Months' Supply,27
PCU2122321223,"Producer Price Index by Industry: Copper, Nickel, Lead and Zinc Mining",Monthly,Index Jun 1988=100,27
ACTLISCOU47900,"Housing Inventory: Active Listing Count in Washington-Arlington-Alexandria, DC-VA-MD-WV (CBSA)",Monthly,Level,27
ACTLISCOU42660,"Housing Inventory: Active Listing Count in Seattle-Tacoma-Bellevue, WA (CBSA)",Monthly,Level,27
ATLA013URN,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",Monthly,Percent,27
PCU562111562111,Producer Price Index by Industry: Solid Waste Collection,Monthly,Index Dec 2003=100,27
PCU325211325211P,Producer Price Index by Industry: Plastics Material and Resin Manufacturing: Primary Products,Monthly,Index Dec 1980=100,27
PCU3345133345130,Producer Price Index by Industry: Industrial Process Variable Instruments: Process Control Instruments,Monthly,Index Dec 2003=100,27
SEXRHTNSA,"Home Price Index (High Tier) for Seattle, Washington",Monthly,Index Jan 2000=100,27
USEPUINDXM,Economic Policy Uncertainty Index for United States,Monthly,Index,27
FEDMINFRMWG,Federal Minimum Hourly Wage for Farm Workers for the United States,Monthly,Dollars per Hour,27
IMPMX,U.S. Imports of Goods by Customs Basis from Mexico,Monthly,Millions of Dollars,27
PCU326112326112,Producer Price Index by Industry: Plastics Packaging Film and Sheet Manufacturing,Monthly,Index Dec 2003=100,27
WPU034203,"Producer Price Index by Commodity: Textile Products and Apparel: Finished Manmade, Silk, and Other Natural Fiber (Excluding Cotton and Wool) Broadwoven Fabrics",Monthly,Index 1982=100,27
PCU3364113364113,Producer Price Index by Industry: Aircraft Manufacturing: Civilian Aircraft,Monthly,Index Dec 1985=100,27
HTRUCKSNSA,Motor Vehicle Retail Sales: Heavy Weight Trucks,Monthly,Thousands of Units,27
LNU03000000,Unemployment Level,Monthly,Thousands of Persons,27
PCU2111112111111,Producer Price Index by Industry: Crude Petroleum and Natural Gas Extraction: Crude Petroleum,Monthly,Index Jun 1984=100,27
IZ3344,Import Price Index (NAICS): Semiconductor and Other Electronic Component Manufacturing,Monthly,Index Dec 2005=100,27
PCU32733132733106,Producer Price Index by Industry: Concrete Block and Brick Manufacturing: Concrete Brick,Monthly,Index Jun 1981=100,27
IRLTLT01KRM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Korea,Monthly,Percent,27
CGMD25O,"Unemployment Rate - College Graduates - Master's Degree, 25 years and over",Monthly,Percent,27
WPU017107,Producer Price Index by Commodity: Farm Products: Eggs for Fresh Use,Monthly,Index Dec 1991=100,27
MRTSSM45111USN,Retail Sales: Sporting Goods Stores,Monthly,Millions of Dollars,27
PCU333333,Producer Price Index by Industry: Machinery Manufacturing,Monthly,Index Dec 2003=100,27
M08354USM310NNBR,"Average Hours of Work Per Week, Total, Household Survey for United States",Monthly,Hours per Week,27
WPU01190104,Producer Price Index by Commodity: Farm Products: Walnuts,Monthly,Index Dec 1991=100,27
PCU484122484122,"Producer Price Index by Industry: General Freight Trucking, Long-Distance Less Than Truckload",Monthly,Index Dec 2003=100,27
MEDDAYONMAR38060,"Housing Inventory: Median Days on Market in Phoenix-Mesa-Scottsdale, AZ (CBSA)",Monthly,Level,27
LNU01300000,Labor Force Participation Rate,Monthly,Percent,27
IR3TIB01AUM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for Australia,Monthly,Percent,27
PCUATRANSATRANS,Producer Price Index by Industry: Transportation Industries,Monthly,Index Dec 2006=100,27
EU28CPALTT01GYM,Consumer Price Index: All items: Total: Total for the European Union,Monthly,Growth rate same period previous year,27
WPU034201,Producer Price Index by Commodity: Textile Products and Apparel: Finished Cotton Broadwoven Fabrics,Monthly,Index 1982=100,27
WPU06410132,"Producer Price Index by Commodity: Chemicals and Allied Products: Lard, Inedible Tallow, and Grease, Except Wool Grease",Monthly,Index Jun 2002=100,27
PCUAINFOAINFO,Producer Price Index by Industry: Information,Monthly,Index Dec 2006=100,27
CUUR0000SAH1,Consumer Price Index for All Urban Consumers: Shelter in U.S. City Average,Monthly,Index 1982-1984=100,27
MJFUELUSGULF,Kerosene-Type Jet Fuel Prices: U.S. Gulf Coast,Monthly,Dollars per Gallon,27
WPU0252,Producer Price Index by Commodity: Processed Foods and Feeds: Raw Cane Sugar and Sugar Cane Mill Products and Byproducts,Monthly,Index 1982=100,27
CP0213EZ19M086NEST,Harmonized Index of Consumer Prices: Beer for Euro area (19 countries),Monthly,Index 2015=100,27
APUS35B72610,"Average Price: Electricity per Kilowatt-Hour in Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",Monthly,U.S. Dollars,27
WPU06130217,"Producer Price Index by Commodity: Chemicals and Allied Products: Potassium and Sodium Compounds, Excluding Bleaches, Alkalies, and Alum",Monthly,Index Jun 2001=100,26
IRLTLT01NLM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Netherlands,Monthly,Percent,26
WPU065202,Producer Price Index by Commodity: Chemicals and Allied Products: Phosphates,Monthly,Index 1982=100,26
PPIENG,Producer Price Index by Commodity: Fuels and Related Products and Power,Monthly,Index 1982=100,26
PHOE004BP1FH,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Phoenix-Mesa-Chandler, AZ (MSA)",Monthly,Units,26
ACTLISCOU15980,"Housing Inventory: Active Listing Count in Cape Coral-Fort Myers, FL (CBSA)",Monthly,Level,26
PCU325910325910,Producer Price Index by Industry: Printing Ink Manufacturing,Monthly,Index Jun 1984=100,26
ILURN,Unemployment Rate in Illinois,Monthly,Percent,26
AUST448BPPRIV,"New Private Housing Structures Authorized by Building Permits for Austin-Round Rock-Georgetown, TX (MSA)",Monthly,Units,26
PCU3362143362145,"Producer Price Index by Industry: Travel Trailer and Camper Manufacturing: Camping Trailers, Campers, Pick-Up Covers, and Parts",Monthly,Index Jun 1984=100,26
PCU9241269241261,Producer Price Index by Industry: Premiums for Property and Casualty Insurance: Premiums for Private Passenger Auto Insurance,Monthly,Index Jun 1998=100,26
WPU10150701,"Producer Price Index by Commodity: Metals and Metal Products: Carbon Steel Castings, Except Investment",Monthly,Index Dec 2003=100,26
JTU5100LDR,Layoffs and Discharges: Information,Monthly,Rate,26
WPU01810101,Producer Price Index by Commodity: Farm Products: Alfalfa Hay,Monthly,Index 1982=100,26
LNU05026645,"Not in Labor Force - Want a Job Now, Marginally Attached, Discouraged Workers",Monthly,Thousands of Persons,26
PCU54115411,Producer Price Index by Industry: Legal Services,Monthly,Index Dec 1996=100,26
PTEAUSDM,"Global price of Tea, Kenyan",Monthly,U.S. Cents per Kilogram,26
WPU111,Producer Price Index by Commodity: Machinery and Equipment: Agricultural Machinery and Equipment,Monthly,Index 1982=100,26
MYAGM2BRM189N,M2 for Brazil,Monthly,National Currency,26
WPU01830171,Producer Price Index by Commodity: Farm Products: Canola,Monthly,Index Dec 2011=100,26
PCU3261503261506,Producer Price Index by Industry: Urethane and Other Foam Product Manufacturing: All Other Miscellaneous Polyurethane Foam Products,Monthly,Index Dec 2003=100,26
WPUFD4131,Producer Price Index by Commodity: Final Demand: Finished Goods Less Foods and Energy,Monthly,Index 1982=100,26
PLAMBUSDM,Global price of Lamb,Monthly,U.S. Cents per Pound,26
WPU072B01,"Producer Price Index by Commodity: Rubber and Plastic Products: All Other Consumer, Institutional, and Commercial Products",Monthly,Index Dec 2006=100,26
PCU322211322211P,Producer Price Index by Industry: Corrugated and Solid Fiber Box Manufacturing: Primary Products,Monthly,Index Mar 1980=100,26
EXPINF23YR,23-Year Expected Inflation,Monthly,Percent,26
PCU335921335921,Producer Price Index by Industry: Fiber Optic Cable Manufacturing,Monthly,Index Dec 2003=100,26
AUTHNOTT,New Privately-Owned Housing Units Authorized but Not Started: Total Units,Monthly,Thousands of Units,25
CASAND5URN,"Unemployment Rate in San Diego County, CA",Monthly,Percent,25
PCU3251203251204,Producer Price Index by Industry: Industrial Gas Manufacturing: Carbon Dioxide,Monthly,Index Jun 1981=100,25
PCU49314931,Producer Price Index by Industry: Warehousing and Storage,Monthly,Index Dec 2006=100,25
MEDLISPRI6073,"Housing Inventory: Median Listing Price in San Diego County, CA",Monthly,U.S. Dollars,25
RBKRBIS,Real Broad Effective Exchange Rate for Korea,Monthly,Index 2020=100,25
ICNDR,National Deposit Rates: Interest Checking,Monthly,Percent,25
WPU09220131,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Medium Density Fiberboard (MDF) Made from MDF Produced at the Same Location",Monthly,Index Jun 1984=100,25
TB6SMFFM,6-Month Treasury Bill Minus Federal Funds Rate,Monthly,Percent,25
FRBATLWGTUMHWGO,Unweighted Median Hourly Wage Growth: Overall,Monthly,Percent Change from Year Ago,25
PCU3335173335172,Producer Price Index by Industry: Machine Tool Manufacturing: Metal Cutting Machine Tools,Monthly,Index Jun 1983=100,25
WPU0711,"Producer Price Index by Commodity: Rubber and Plastic Products: Synthetic Rubber, Including Styrene-Butadiene Rubber (SBR) and Ethylene Propylene",Monthly,Index 1982=100,25
CEU0500000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Total Private",Monthly,Dollars per Hour,25
SFXRHTNSA,"Home Price Index (High Tier) for San Francisco, California",Monthly,Index Jan 2000=100,25
PCU236224236224,Producer Price Index by Industry: New Health Care Building Construction,Monthly,Index Jun 2012=100,25
PCU33533353,Producer Price Index by Industry: Electrical Equipment Manufacturing,Monthly,Index Dec 2003=100,25
PAPHIL5URN,"Unemployment Rate in Philadelphia County/City, PA",Monthly,Percent,25
WPU067904,Producer Price Index by Commodity: Chemicals and Allied Products: Adhesives and Sealants,Monthly,Index Dec 1983=100,25
WPU02530702,Producer Price Index by Commodity: Processed Foods and Feeds: Beet Sugar,Monthly,Index Dec 2002=100,25
WPU11710216,"Producer Price Index by Commodity: Machinery and Equipment: Noncurrent-Carrying Electrical Conduit and Conduit Fittings, Including Plastic Conduit and Fittings",Monthly,Index Dec 2004=100,25
CP0711EZ18M086NEST,Harmonized Index of Consumer Prices: Motor Cars for Euro Area (18 countries),Monthly,Index 2015=100,25
IPN31152N,Industrial Production: Manufacturing: Nondurable Goods: Ice Cream and Frozen Dessert (NAICS = 31152),Monthly,Index 2017=100,25
MEDLISPRIPERSQUFEE12086,"Housing Inventory: Median Listing Price per Square Feet in Miami-Dade County, FL",Monthly,U.S. Dollars,25
INTDSRSAM193N,"Interest Rates, Discount Rate for Saudi Arabia",Monthly,Percent per Annum,25
CUURA103SEHA,"Consumer Price Index for All Urban Consumers: Rent of Primary Residence in Boston-Cambridge-Newton, MA-NH (CBSA)",Monthly,Index 1982-1984=100,25
NBUSBIS,Broad Effective Exchange Rate for United States,Monthly,Index 2020=100,25
MYAGM2ARM189N,M2 for Argentina,Monthly,National Currency,25
WPU071102,Producer Price Index by Commodity: Rubber and Plastic Products: Synthetic Rubber,Monthly,Index 1982=100,25
MPCREDIT,Discount Window Primary Credit Rate,Monthly,Percent,25
PCU334419334419,Producer Price Index by Industry: Other Electronic Component Manufacturing,Monthly,Index Dec 2003=100,25
RBIDBIS,Real Broad Effective Exchange Rate for Indonesia,Monthly,Index 2020=100,25
PCU3331203331209,"Producer Price Index by Industry: Construction Machinery Manufacturing: Parts for Construction Machinery and Equipment, Sold Separately",Monthly,Index Dec 1999=100,25
APU0000FN1102,"Average Price: All Soft Drinks, 12 Pk, 12 Ounce, Cans (Cost per 12 Ounces/354.9 Milliliters) in U.S. City Average",Monthly,U.S. Dollars,25
PSMEAUSDM,Global price of Soybean Meal,Monthly,U.S. Dollars per Metric Ton,25
IRSTPI01CAM156N,Interest Rates: Immediate Rates (< 24 Hours): Prime Rates: Total for Canada,Monthly,Percent,25
FII5,"Market Yield on U.S. Treasury Securities at 5-Year Constant Maturity, Quoted on an Investment Basis, Inflation-Indexed",Monthly,Percent,25
CCLACBM027NBOG,"Consumer Loans: Credit Cards and Other Revolving Plans, All Commercial Banks",Monthly,Billions of U.S. Dollars,25
WPU071,Producer Price Index by Commodity: Rubber and Plastic Products: Rubber and Rubber Products,Monthly,Index 1982=100,25
PCU441110441110102,Producer Price Index by Industry: New Car Dealers: Used Vehicle Sales,Monthly,Index Dec 1999=100,25
WPU1173,"Producer Price Index by Commodity: Machinery and Equipment: Motors, Generators, Motor Generator Sets",Monthly,Index 1982=100,25
